lot_code,sku,received_date,expiry_date,qty_received
L202546-0001,SKU1000,2025-11-12,2026-08-09,240
L202601-0002,SKU1000,2026-01-02,2026-07-01,120
L202618-0003,SKU1000,2026-04-28,2026-08-26,480
L202546-0004,SKU1001,2025-11-13,2026-03-13,240
L202601-0005,SKU1001,2026-01-04,2026-05-04,240
L202619-0006,SKU1001,2026-05-08,2027-05-08,240
L202614-0007,SKU1002,2026-04-05,2026-12-31,120
L202621-0008,SKU1002,2026-05-19,2026-11-15,480
L202605-0009,SKU1002,2026-02-01,2026-10-29,240
L202601-0010,SKU1002,2025-12-31,2026-09-27,120
L202548-0011,SKU1002,2025-11-29,2026-11-29,120
L202606-0012,SKU1002,2026-02-05,2026-11-02,360
L202620-0013,SKU1003,2026-05-11,2027-05-11,120
L202607-0014,SKU1003,2026-02-10,2026-06-10,360
L202623-0015,SKU1003,2026-06-06,2027-03-03,240
L202547-0016,SKU1004,2025-11-17,2026-05-16,360
L202548-0017,SKU1004,2025-11-26,2026-05-25,120
L202607-0018,SKU1004,2026-02-11,2026-11-08,480
L202551-0019,SKU1005,2025-12-17,2026-09-13,360
L202601-0020,SKU1005,2025-12-29,2026-09-25,120
L202615-0021,SKU1005,2026-04-10,2026-10-07,240
L202551-0022,SKU1005,2025-12-17,2026-12-17,480
L202603-0023,SKU1005,2026-01-14,2026-07-13,360
L202601-0024,SKU1006,2026-01-03,2026-05-03,360
L202608-0025,SKU1006,2026-02-16,2026-11-13,120
L202601-0026,SKU1006,2025-12-30,2026-09-26,240
L202607-0027,SKU1007,2026-02-15,2027-02-15,240
L202603-0028,SKU1007,2026-01-12,2026-07-11,240
L202620-0029,SKU1007,2026-05-15,2027-02-09,480
L202614-0030,SKU1007,2026-04-04,2027-04-04,360
L202601-0031,SKU1007,2026-01-01,2026-06-30,480
L202548-0032,SKU1007,2025-11-29,2026-03-29,120
L202616-0033,SKU1008,2026-04-15,2026-10-12,480
L202615-0034,SKU1008,2026-04-07,2026-08-05,480
L202607-0035,SKU1008,2026-02-11,2027-02-11,360
L202613-0036,SKU1008,2026-03-27,2026-07-25,120
L202621-0037,SKU1009,2026-05-21,2027-02-15,120
L202604-0038,SKU1009,2026-01-20,2027-01-20,240
L202610-0039,SKU1009,2026-03-02,2026-06-30,360
L202611-0040,SKU1009,2026-03-14,2026-09-10,120
L202625-0041,SKU1009,2026-06-16,2027-03-13,240
L202607-0042,SKU1010,2026-02-09,2026-08-08,120
L202615-0043,SKU1010,2026-04-08,2027-01-03,480
L202546-0044,SKU1010,2025-11-10,2026-03-10,360
L202625-0045,SKU1010,2026-06-18,2027-03-15,240
L202602-0046,SKU1011,2026-01-06,2026-05-06,120
L202620-0047,SKU1011,2026-05-12,2027-05-12,120
L202621-0048,SKU1011,2026-05-19,2026-11-15,240
L202613-0049,SKU1012,2026-03-26,2026-09-22,360
L202612-0050,SKU1012,2026-03-21,2027-03-21,240
L202613-0051,SKU1012,2026-03-24,2026-09-20,360
L202608-0052,SKU1012,2026-02-16,2026-11-13,480
L202612-0053,SKU1012,2026-03-18,2027-03-18,120
L202602-0054,SKU1012,2026-01-08,2026-07-07,120
