line_id,order_id,pick_date,picker_id,sku,lot_code,qty_ordered,error_type
1,5001,2026-01-05,P06,SKU1019,L202608-0085,3,
2,5001,2026-01-05,P06,SKU1007,L202603-0028,3,
3,5001,2026-01-05,P06,SKU1000,L202546-0001,12,
4,5001,2026-01-05,P06,SKU1025,L202623-0109,11,
5,5001,2026-01-05,P06,SKU1025,L202613-0107,5,
6,5001,2026-01-05,P06,SKU1022,L202606-0094,7,
7,5001,2026-01-05,P06,SKU1015,L202608-0066,4,
8,5001,2026-01-05,P06,SKU1014,L202552-0062,5,
9,5002,2026-01-05,P04,SKU1000,L202618-0003,4,
10,5002,2026-01-05,P04,SKU1008,L202616-0033,5,
11,5002,2026-01-05,P04,SKU1016,L202617-0072,11,
12,5002,2026-01-05,P04,SKU1017,L202607-0077,1,
13,5002,2026-01-05,P04,SKU1008,L202615-0034,10,
14,5003,2026-01-05,P05,SKU1003,L202623-0015,7,
15,5003,2026-01-05,P05,SKU1025,L202548-0108,7,
16,5004,2026-01-05,P02,SKU1018,L202547-0080,5,
17,5004,2026-01-05,P02,SKU1013,L202546-0055,9,
18,5004,2026-01-05,P02,SKU1017,L202551-0076,6,
19,5004,2026-01-05,P02,SKU1021,L202545-0091,10,
20,5004,2026-01-05,P02,SKU1003,L202623-0015,5,
21,5004,2026-01-05,P02,SKU1021,L202548-0092,6,
22,5004,2026-01-05,P02,SKU1009,L202625-0041,3,
23,5004,2026-01-05,P02,SKU1021,L202548-0092,11,
24,5005,2026-01-05,P03,SKU1012,L202612-0053,1,
25,5005,2026-01-05,P03,SKU1006,L202608-0025,10,
26,5005,2026-01-05,P03,SKU1010,L202625-0045,8,
27,5005,2026-01-05,P03,SKU1006,L202601-0026,8,
28,5005,2026-01-05,P03,SKU1025,L202613-0107,11,
29,5005,2026-01-05,P03,SKU1016,L202608-0074,11,
30,5006,2026-01-05,P02,SKU1021,L202545-0091,4,
31,5006,2026-01-05,P02,SKU1004,L202547-0016,1,
32,5006,2026-01-05,P02,SKU1015,L202613-0068,2,
33,5006,2026-01-05,P02,SKU1020,L202552-0088,4,
34,5006,2026-01-05,P02,SKU1012,L202608-0052,7,
35,5007,2026-01-05,P01,SKU1024,L202547-0104,4,
36,5007,2026-01-05,P01,SKU1022,L202625-0097,1,
37,5007,2026-01-05,P01,SKU1003,L202607-0014,3,
38,5008,2026-01-05,P06,SKU1019,L202608-0085,9,
39,5008,2026-01-05,P06,SKU1017,L202603-0078,3,
40,5008,2026-01-05,P06,SKU1015,L202602-0067,5,
41,5008,2026-01-05,P06,SKU1020,L202617-0087,9,
42,5008,2026-01-05,P06,SKU1007,L202620-0029,8,
43,5008,2026-01-05,P06,SKU1009,L202604-0038,5,
44,5008,2026-01-05,P06,SKU1017,L202625-0075,3,
45,5008,2026-01-05,P06,SKU1012,L202602-0054,3,
46,5008,2026-01-05,P06,SKU1002,L202601-0010,7,
47,5009,2026-01-05,P08,SKU1001,L202546-0004,7,
48,5009,2026-01-05,P08,SKU1024,L202621-0105,12,
49,5009,2026-01-05,P08,SKU1024,L202621-0105,7,
50,5009,2026-01-05,P08,SKU1011,L202620-0047,7,
51,5009,2026-01-05,P08,SKU1013,L202612-0059,12,
52,5009,2026-01-05,P08,SKU1025,L202613-0107,8,
53,5009,2026-01-05,P08,SKU1013,L202624-0058,1,
54,5009,2026-01-05,P08,SKU1021,L202548-0092,12,
